id|Rata                         
1 |Keljonkankaan frisbeegolf    
2 |Laajis Frisbeegolf           
3 |Vesanka DiscGolfPark         
4 |Kuokkalan frisbeegolf    	
5 |Huhtasuo DiscGolfPark  	    
6 |Seppälänkankaan frisbeegolfrata 
